,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
133,"[('2', 0.7109401999041438)]",2,0.7109401999041438,2,7,,1,0,0,133,1,0,99.25373134328358,1.0906912373047002
134,"[('1', 0.5489451000466943)]",1,0.5489451000466943,1,6,,1,0,0,134,1,0,99.25925925925925,1.086678302954641
135,"[('2', 0.8270613999338821)]",2,0.8270613999338821,2,7,,1,0,0,135,1,0,99.26470588235294,1.0847693551383117
136,"[('1', 0.7484921000432223)]",1,0.7484921000432223,1,6,,1,0,0,136,1,0,99.27007299270073,1.082314776633968
137,"[('1', 0.7278341999044642)]",1,0.7278341999044642,1,6,,1,0,0,137,1,0,99.27536231884058,1.0797460768025948
138,"[('2', 0.8936360999941826)]",2,0.8936360999941826,2,7,567.4954192999285,1,0,0,138,1,0,99.28057553956835,1.0784071561061315
139,"[('2', 0.9099975000135601)]",2,0.9099975000135601,2,7,,1,0,0,139,1,0,99.28571428571429,1.0772042299911846
140,"[('1', 0.7272231999086216)]",1,0.7272231999086216,1,6,,1,0,0,140,1,0,99.29078014184397,1.07472209502606
141,"[('2', 0.7991389000089839)]",2,0.7991389000089839,2,7,,1,0,0,141,1,0,99.29577464788733,1.0727813683005876
142,"[('1', 0.9628302999772131)]",1,0.9628302999772131,1,6,,1,0,0,142,1,0,99.3006993006993,1.0720124797109136
143,"[('1', 0.6266609000740573)]",1,0.6266609000740573,1,6,,1,0,0,143,1,0,99.30555555555556,1.06891976040788
144,"[('1', 0.6578736999072134)]",1,0.6578736999072134,1,6,585.5459353999468,1,0,0,144,1,0,99.3103448275862,1.066084959990634
145,"[('2', 1.1099433000199497)]",2,1.1099433000199497,2,7,,1,0,0,145,1,0,99.31506849315069,1.0663853595798758
146,"[('2', 0.6935783000662923)]",2,0.6935783000662923,2,7,,1,0,0,146,1,0,99.31972789115646,1.0638492571342053
147,"[('1', 0.843352900003083)]",1,0.843352900003083,1,6,,1,0,0,147,1,0,99.32432432432432,1.0623594168833193
148,"[('2', 0.6928158999653533)]",2,0.6928158999653533,2,7,,1,0,0,148,1,0,99.32885906040268,1.059879259051655
149,"[('1', 0.8260839999420568)]",1,0.8260839999420568,1,6,,1,0,0,149,1,0,99.33333333333333,1.0583206239909244
150,"[('2', 0.7285707000410184)]",2,0.7285707000410184,2,7,621.5882606999949,1,0,0,150,1,0,99.33774834437087,1.0561368496601304
151,"[('2', 0.7603973000077531)]",2,0.7603973000077531,2,7,,1,0,0,151,1,0,99.34210526315789,1.0541911947282068
152,"[('1', 0.6486671000020579)]",1,0.6486671000020579,1,6,,1,0,0,152,1,0,99.34640522875817,1.051540710448951
153,"[('2', 0.6155650999862701)]",2,0.6155650999862701,2,7,,1,0,0,153,1,0,99.35064935064935,1.048709699991401
154,"[('1', 0.6659140000119805)]",1,0.6659140000119805,1,6,,1,0,0,154,1,0,99.35483870967742,1.0462400503141145
155,"[('1', 0.9830375000601634)]",1,0.9830375000601634,1,6,,1,0,0,155,1,0,99.35897435897436,1.0458349057612044
156,"[('2', 0.582315000006929)]",2,0.582315000006929,2,7,639.6386979999952,1,0,0,156,1,0,99.36305732484077,1.0428825496735976
157,"[('1', 0.6599133999552578)]",1,0.6599133999552578,1,6,,1,0,0,157,1,0,99.36708860759494,1.0404586942956335
158,"[('1', 2.766217099968344)]",1,2.766217099968344,1,6,,1,0,0,158,1,0,99.37106918238993,1.0513125207464054
159,"[('2', 0.7424785000039265)]",2,0.7424785000039265,2,7,,1,0,0,159,1,0,99.375,1.0493823081167648
160,"[('1', 1.1092794000869617)]",1,1.1092794000869617,1,6,,1,0,0,160,1,0,99.37888198757764,1.0497543397439089
161,"[('2', 0.6928315999684855)]",2,0.6928315999684855,2,7,,1,0,0,161,1,0,99.38271604938272,1.0475511129551716
162,"[('1', 1.0091521999565884)]",1,1.0091521999565884,1,6,657.6539311999222,1,0,0,162,1,0,99.38650306748467,1.0473155368018061
163,"[('2', 0.742670200066641)]",2,0.742670200066641,2,7,,1,0,0,163,1,0,99.39024390243902,1.0454579432851283
