,subj_key_resp,subj_key_resp_first,rxn_time,corr_resp,corr_resp_left,running_time,hits,corr_skips,false_alarm,misses,total_hits,total_corr_skips,total_false_alarm,total_misses,overall_accuracy,hit_accuracy,false_alarm_rate,avg_rxn_time
160,,,,0.0,0.0,,0,1,0,0,37,101,2,6,94.52054794520548,86.04651162790698,1.36986301369863,1.4218396307685628
161,,,,1.0,7.0,,0,0,0,1,37,101,2,7,93.87755102040816,84.0909090909091,1.3605442176870748,1.4218396307685628
162,,,,1.0,7.0,,0,0,0,1,37,101,2,8,93.24324324324324,82.22222222222223,1.3513513513513513,1.4218396307685628
163,,,,0.0,0.0,,0,1,0,0,37,102,2,8,93.28859060402685,82.22222222222223,1.342281879194631,1.4218396307685628
164,,,,0.0,0.0,,0,1,0,0,37,103,2,8,93.33333333333333,82.22222222222223,1.3333333333333333,1.4218396307685628
165,,,,,,749.0959996000165,0,0,0,0,37,103,2,8,93.33333333333333,82.22222222222223,1.3333333333333333,1.4218396307685628
166,,,,0.0,0.0,,0,1,0,0,37,104,2,8,93.37748344370861,82.22222222222223,1.3245033112582782,1.4218396307685628
167,,,,0.0,0.0,,0,1,0,0,37,105,2,8,93.42105263157895,82.22222222222223,1.3157894736842106,1.4218396307685628
168,,,,0.0,0.0,,0,1,0,0,37,106,2,8,93.4640522875817,82.22222222222223,1.3071895424836601,1.4218396307685628
169,,,,1.0,7.0,,0,0,0,1,37,106,2,9,92.85714285714286,80.43478260869566,1.2987012987012987,1.4218396307685628
170,"[('1', 0.47131600009743124)]",1,0.47131600009743124,1.0,7.0,,1,0,0,0,38,106,2,9,92.90322580645162,80.85106382978724,1.2903225806451613,1.3980765400017845
171,,,,0.0,0.0,,0,1,0,0,38,107,2,9,92.94871794871794,80.85106382978724,1.2820512820512822,1.3980765400017845
172,,,,0.0,0.0,,0,1,0,0,38,108,2,9,92.99363057324841,80.85106382978724,1.2738853503184713,1.3980765400017845
173,,,,0.0,0.0,,0,1,0,0,38,109,2,9,93.0379746835443,80.85106382978724,1.2658227848101267,1.3980765400017845
174,"[('1', 0.3879048000089824)]",1,0.3879048000089824,1.0,7.0,,1,0,0,0,39,109,2,9,93.08176100628931,81.25,1.2578616352201257,1.373438204880009
175,,,,0.0,0.0,,0,1,0,0,39,110,2,9,93.125,81.25,1.25,1.373438204880009
176,,,,,,795.3684313000413,0,0,0,0,39,110,2,9,93.125,81.25,1.25,1.373438204880009
177,,,,0.0,0.0,,0,1,0,0,39,111,2,9,93.16770186335404,81.25,1.2422360248447204,1.373438204880009
178,,,,0.0,0.0,,0,1,0,0,39,112,2,9,93.20987654320987,81.25,1.2345679012345678,1.373438204880009
179,,,,1.0,7.0,,0,0,0,1,39,112,2,10,92.63803680981596,79.59183673469387,1.2269938650306749,1.373438204880009
180,,,,0.0,0.0,,0,1,0,0,39,113,2,10,92.6829268292683,79.59183673469387,1.2195121951219512,1.373438204880009
181,,,,0.0,0.0,,0,1,0,0,39,114,2,10,92.72727272727273,79.59183673469387,1.2121212121212122,1.373438204880009
182,,,,0.0,0.0,,0,1,0,0,39,115,2,10,92.7710843373494,79.59183673469387,1.2048192771084338,1.373438204880009
183,,,,0.0,0.0,,0,1,0,0,39,116,2,10,92.81437125748504,79.59183673469387,1.1976047904191616,1.373438204880009
184,"[('1', 0.5787306999554858)]",1,0.5787306999554858,1.0,7.0,,1,0,0,0,40,116,2,10,92.85714285714286,80.0,1.1904761904761905,1.3545165976199012
185,"[('1', 1.188213099958375)]",1,1.188213099958375,1.0,7.0,,1,0,0,0,41,116,2,10,92.89940828402366,80.3921568627451,1.183431952662722,1.3506490744184703
186,,,,0.0,0.0,,0,1,0,0,41,117,2,10,92.94117647058823,80.3921568627451,1.1764705882352942,1.3506490744184703
187,,,,,,843.6205334999831,0,0,0,0,41,117,2,10,92.94117647058823,80.3921568627451,1.1764705882352942,1.3506490744184703
188,,,,0.0,0.0,,0,1,0,0,41,118,2,10,92.98245614035088,80.3921568627451,1.1695906432748537,1.3506490744184703
189,,,,0.0,0.0,,0,1,0,0,41,119,2,10,93.02325581395348,80.3921568627451,1.1627906976744187,1.3506490744184703
190,"[('1', 0.5888627999229357)]",1,0.5888627999229357,1.0,7.0,,1,0,0,0,42,119,2,10,93.0635838150289,80.76923076923077,1.1560693641618498,1.333335749998117
191,,,,0.0,0.0,,0,1,0,0,42,120,2,10,93.10344827586206,80.76923076923077,1.1494252873563218,1.333335749998117
192,,,,0.0,0.0,,0,1,0,0,42,121,2,10,93.14285714285714,80.76923076923077,1.1428571428571428,1.333335749998117
193,"[('1', 0.5782230000477284)]",1,0.5782230000477284,1.0,7.0,,1,0,0,0,43,121,2,10,93.18181818181819,81.13207547169812,1.1363636363636365,1.3165554666658863
194,,,,0.0,0.0,,0,1,0,0,43,122,2,10,93.22033898305085,81.13207547169812,1.1299435028248588,1.3165554666658863
195,,,,0.0,0.0,,0,1,0,0,43,123,2,10,93.25842696629213,81.13207547169812,1.1235955056179776,1.3165554666658863
196,"[('1', 0.5223766000708565)]",1,0.5223766000708565,1.0,7.0,,1,0,0,0,44,123,2,10,93.29608938547486,81.48148148148148,1.1173184357541899,1.2992907086964292
197,,,,0.0,0.0,,0,1,0,0,44,124,2,10,93.33333333333333,81.48148148148148,1.1111111111111112,1.2992907086964292
